gene1	gene2	Ka	Ks	KaKs
SEN0748	SG0781	0.0000	0.0000	0.00100
SEN0749	SG0782	0.0030	0.0000	99.00000
SEN0750	SG0783	0.0000	0.0000	0.00100
SEN0751	SG0784	0.0000	0.0000	0.15840
SEN0752	SG0785	0.0028	0.0000	99.00000
SEN0753	SG0786	0.0000	0.0000	0.00100
SEN0754	SG0787	0.0040	0.0000	99.00000
SEN0757	SG0790	0.0000	0.0000	99.00000
SEN0758	SG0791	0.0000	0.0000	0.07655
SEN0759	SG0792	0.0000	0.0000	0.10964
SEN0760	SG0793	0.0000	0.0000	0.00100
SEN0761	SG0794	0.0000	0.0028	0.00100
SEN0762	SG0795	0.0000	0.0000	0.01591
SEN0763	SG0796	0.0000	0.0018	0.00100
SEN0764	SG0797	0.0028	0.0000	99.00000
SEN0765	SG0798	0.0000	0.0000	0.00100
SEN0766	SG0799	0.0009	0.0000	99.00000
SEN0768	SG0801	0.0016	0.0031	0.51241
SEN2924	SG2976	0.0013	0.0000	99.00000
SEN0769	SG0802	0.0000	0.0000	0.16649
SEN0770	SG0803	0.0000	0.0000	0.00100
SEN0771	SG0804	0.0000	0.0000	0.00100
SEN0772	SG0805	0.0006	0.0000	99.00000
SEN0773	SG0806	0.0019	0.0053	0.36365
SEN0774	SG0807	0.0000	0.0000	0.00100
SEN0775	SG4194	0.8078	10.0404	0.08045
SEN0776	SG0810	0.0000	0.0000	0.08711
SEN0777	SG0811	0.0000	0.0000	0.00100
SEN0778	SG0812	0.0030	0.0000	99.00000
SEN0779	SG0813	0.0000	0.0000	0.00100
SEN0780	SG0814	0.0000	0.0000	0.13587
SEN0781	SG0815	0.0044	0.0000	99.00000
SEN0782	SG0816	0.0000	0.0000	0.09026
SEN0783	SG0817	0.0000	0.0000	0.00100
SEN0787	SG0822	0.0000	0.0026	0.00100
SEN0788	SG0823	0.0000	0.0000	0.00100
SEN0789	SG0824	0.0000	0.0021	0.00100
SEN0790	SG0825	0.0000	0.0032	0.00100
SEN0791	SG0826	0.0000	0.0041	0.00100
SEN0792	SG0827	0.0012	0.0000	99.00000
SEN0793	SG0828	0.0000	0.0035	0.00100
SEN0794	SG0829	0.0023	0.0000	99.00000
SEN0795	SG0830	0.0020	0.0000	99.00000
SEN0796	SG0831	0.0000	0.0034	0.00100
SEN0797	SG0832	0.0000	0.0069	0.00100
SEN0798	SG0833	0.0012	0.0000	99.00000
SEN0799	SG0834	0.0000	0.0000	0.00100
SEN0808	SG0843	0.0000	0.0000	0.00100
SEN0809	SG0844	0.0000	0.0000	0.08175
SEN0810	SG0845	0.0000	0.0000	0.12210
SEN0811	SG0846	0.0000	0.0000	0.00100
SEN0812	SG0847	0.0000	0.0000	0.00100
SEN0813	SG0848	0.0000	0.0000	0.00100
SEN0814	SG0849	0.0024	0.0000	99.00000
SEN0815	SG0850	0.0000	0.0064	0.00100
SEN0816	SG0851	0.0009	0.0000	99.00000
SEN0817	SG0852	0.0000	0.0067	0.00100
SEN0818	SG0853	0.0000	0.0000	0.00100
SEN0819	SG0854	0.0000	0.0000	0.00100
SEN0821	SG0856	0.0000	0.0035	0.00100
SEN0822	SG0857	0.0026	0.0000	99.00000
SEN0823	SG0858	0.0000	0.0000	99.00000
SEN0824	SG0859	0.0000	0.0045	0.00100
SEN0825	SG0860	0.0000	0.0000	99.00000
SEN0826	SG0861	0.0016	0.0000	99.00000
SEN0827	SG0862	0.0000	0.0000	0.10835
SEN0832	SG0867	0.0000	0.0000	0.00100
SEN0833	SG0868	0.0000	0.0040	0.00100
SEN0834	SG0869	0.0000	0.0000	0.00100
SEN0835	SG0870	0.0042	0.0042	1.01666
SEN0836	SG0871	0.0000	0.0000	0.00100
SEN0837	SG0872	0.0000	0.0000	0.00100
SEN0838	SG0873	0.0000	0.0000	0.00100
SEN0839	SG0874	0.0000	0.0000	0.00100
SEN0840	SG0875	0.0000	0.0000	0.00100
SEN0841	SG0876	0.0019	0.0000	99.00000
SEN0842	SG0877	0.0000	0.0000	0.06603
SEN0843	SG0878	0.0000	0.0000	0.00100
SEN0844	SG0879	0.0013	0.0000	99.00000
SEN0845	SG0880	0.0008	0.0000	99.00000
SEN0846	SG0881	0.0000	0.0000	0.00100
SEN2035	SG2064	0.0023	0.0000	99.00000
SEN0847	SG0882	0.0008	0.0022	0.37547
SEN0848	SG0883	0.0000	0.0028	0.00100
SEN0850	SG0886	0.0007	0.0000	99.00000
SEN0851	SG0887	0.0000	0.0000	0.00100
SEN0852	SG0888	0.0051	0.0001	99.00000
SEN0853	SG0889	0.0007	0.0013	0.53695
SEN0857	SG0896	0.0000	0.0000	0.00100
SEN0859	SG0898	0.0000	0.0000	0.00100
SEN0860	SG0899	0.0000	0.0000	0.12245
SEN0861	SG0900	0.0000	0.0032	0.00100
SEN0862	SG0901	0.0000	0.0049	0.00100
SEN0863	SG0902	0.0000	0.0000	99.00000
SEN0864	SG0903	0.0011	0.0053	0.20733
SEN0866	SG0904	0.0000	0.0000	0.11863
SEN0867	SG0905	0.0000	0.0000	0.56071
SEN0868	SG0906	0.0000	0.0043	0.00100
SEN0869	SG0907	0.0011	0.0015	0.75862
SEN0870	SG0908	0.0000	0.0000	0.07356
SEN0871	SG0909	0.0000	0.0038	0.00100
SEN3583	SG0893	0.0454	1.8388	0.02469
SEN0872	SG0910	0.0023	0.0000	99.00000
SEN0873	SG0911	0.0000	0.0000	0.11513
SEN0141	SG0140	0.0000	0.0000	0.02043
SEN0874	SG0912	0.0000	0.0000	0.01924
SEN0877	SG0915	0.0005	0.0000	99.00000
SEN0878	SG0916	0.0000	0.0000	0.01310
SEN0879	SG0917	0.0000	0.0016	0.00100
SEN0880	SG0918	0.0000	0.0000	0.00100
SEN0881	SG0919	0.0000	0.0047	0.00100
SEN0882	SG0920	0.0000	0.0062	0.00100
SEN0883	SG0921	0.0020	0.0000	99.00000
SEN0884	SG0922	0.0000	0.0057	0.00100
SEN0885	SG0923	0.0000	0.0016	0.00100
SEN0886	SG0924	0.0000	0.0000	0.05543
SEN0887	SG0925	0.0013	0.0015	0.86323
SEN0888	SG0926	0.0000	0.0017	0.00100
SEN0889	SG0927	0.0000	0.0031	0.00100
SEN0890	SG0928	0.0025	0.0029	0.84306
SEN0891	SG0929	0.0000	0.0000	0.00100
SEN0892	SG0930	0.0018	0.0000	99.00000
SEN0893	SG0931	0.0018	0.0000	99.00000
SEN0894	SG0932	0.0000	0.0000	0.00100
SEN0895	SG0933	0.0016	0.0068	0.23517
SEN0896	SG0934	0.0019	0.0043	0.43605
SEN0897	SG0935	0.0000	0.0000	0.00100
SEN0898	SG0936	0.0003	0.0023	0.12482
SEN0899	SG0937	0.0000	0.0017	0.00100
SEN0900	SG0938	0.0000	0.0052	0.00100
SEN0901	SG0939	0.0000	0.0000	0.00100
SEN0902	SG0940	0.0000	0.0000	0.05562
SEN1483	SG1555	0.0015	0.0053	0.28571
SEN0904	SG0942	0.0000	0.0000	0.00100
SEN0908	SG0946	0.0000	0.0000	0.15043
SEN0922	SG0947	0.0006	0.0000	99.00000
SEN0323	SG0350	0.0000	0.0000	0.24693
SEN0181	SG0179	0.0066	0.0300	0.22057
SEN0022	SG0025	0.0011	0.0000	99.00000
SEN0023	SG0026	0.0000	0.0000	0.10572
SEN0024	SG0027	0.0000	0.0000	0.23932
SEN0025	SG0028	0.0030	0.0000	99.00000
SEN0026	SG0029	0.0000	0.0000	0.00100
SEN0923	SG0948	0.0016	0.0000	99.00000
SEN0924	SG0949	0.0000	0.0000	0.00100
SEN0925	SG0950	0.0012	0.0000	99.00000
SEN0926	SG0951	0.0006	0.0020	0.31912
SEN0927	SG0952	0.0009	0.0000	99.00000
SEN0928	SG0953	0.0012	0.0000	99.00000
SEN0929	SG0954	0.0000	0.0031	0.00100
SEN0930	SG0955	0.0000	0.0053	0.00100
SEN0931	SG0956	0.0000	0.0000	0.00100
SEN0932	SG0957	0.0000	0.0000	0.08494
SEN0933	SG0958	0.0000	0.0000	0.09146
SEN0934	SG0959	0.0000	0.0000	0.00100
SEN0935	SG0960	0.0000	0.0047	0.00100
SEN0936	SG0961	0.0026	0.0000	99.00000
SEN0937	SG0962	0.0021	0.0000	99.00000
SEN0938	SG0963	0.0000	0.0000	0.00100
SEN0939	SG0964	0.0000	0.0000	0.00100
SEN0940	SG0965	0.0006	0.0000	99.00000
SEN0941	SG0966	0.0028	0.0000	99.00000
SEN0942	SG0967	0.0000	0.0000	0.00100
SEN0943	SG0968	0.0037	0.0000	99.00000
SEN0944	SG0969	0.0000	0.0000	0.00100
SEN0945	SG0970	0.0013	0.0000	99.00000
SEN0948	SG0973	0.0000	0.0176	0.00100
SEN0949	SG0974	0.0000	0.0000	0.12671
SEN0950	SG0975	0.0000	0.0054	0.00100
SEN1251	SG1330	0.0024	0.0000	99.00000
SEN1250	SG1329	0.0008	0.0000	99.00000
SEN1249	SG1328	0.0018	0.0066	0.27942
SEN1248	SG1327	0.0000	0.0000	0.13446
SEN1247	SG1326	0.0000	0.0000	0.00727
SEN1245	SG1324	0.0010	0.0000	99.00000
SEN1244	SG1323	0.0014	0.0000	99.00000
SEN3641	SG3608	0.0013	0.0089	0.14231
SEN3640	SG3609	0.0020	0.0058	0.33929
SEN3639	SG3610	0.0023	0.0000	99.00000
SEN3638	SG3611	0.0011	0.0029	0.38422
SEN3637	SG3612	0.0000	0.0000	0.09129
SEN0975	SG1000	0.0000	0.0000	0.00100
SEN0976	SG1001	0.0000	0.0000	0.02944
SEN0982	SG1007	0.0000	0.0000	0.00100
SEN0983	SG1008	0.0000	0.0069	0.00100
SEN0962	SG0987	0.0000	0.0000	0.00100
SEN0986A	SG1012	0.0000	0.0008	0.00100
SEN0987	SG1013	0.0000	0.0021	0.00100
SEN1913	SG1987	0.0017	0.0000	99.00000
SEN1911	SG1985	0.0000	0.0000	0.00100
SEN1910	SG1984	0.0028	0.0000	99.00000
SEN1909	SG1983	0.0000	0.0000	0.00100
SEN1908	SG1982	0.0039	0.0000	99.00000
SEN1907	SG1981	0.0032	0.0000	99.00000
SEN1906	SG1980	0.0025	0.0000	99.00000
SEN1905	SG1979	0.0063	0.0165	0.38032
SEN1904	SG1978	0.0030	0.0090	0.33115
SEN1903	SG1977	0.0000	0.0000	0.13502
SEN1902	SG1976	0.0000	0.0110	0.00100
SEN1901	SG1975	0.0030	0.0000	99.00000
SEN1900	SG1974	0.0011	0.0000	99.00000
SEN1899	SG1973	0.0011	0.0000	99.00000
SEN1898	SG1972	0.0000	0.0000	0.00100
SEN1897	SG1971	0.0011	0.0000	99.00000
SEN1896	SG1970	0.0000	0.0000	0.04342
SEN1895	SG1969	0.0000	0.0000	0.00100
SEN1894	SG1968	0.0023	0.0000	99.00000
SEN1893	SG1967	0.0000	0.0000	0.11949
SEN1892	SG1966	0.0013	0.0078	0.16353
SEN1891	SG1965	0.0000	0.0000	0.05648
SEN1890	SG1964	0.0000	0.0056	0.00100
SEN1889	SG1963	0.0000	0.0000	0.00100
SEN1888	SG1962	0.0000	0.0027	0.00100
SEN1887	SG1961	0.0000	0.0000	0.06079
SEN1886	SG1960	0.0000	0.0000	0.00100
SEN1885	SG1959	0.0000	0.0028	0.00100
SEN1884	SG1958	0.0000	0.0000	0.00100
SEN1883	SG1957	0.0069	0.0001	99.00000
SEN1882	SG1956	0.0011	0.0000	99.00000
SEN1881	SG1955	0.0047	0.0000	99.00000
SEN1879	SG1953	0.0014	0.0000	99.00000
SEN1878	SG1952	0.0009	0.0077	0.11493
SEN1877	SG1951	0.0000	0.0000	99.00000
SEN1876	SG1950	0.0000	0.0000	0.09733
SEN1875	SG1949	0.0043	0.0109	0.39763
SEN1874	SG1948	0.0000	0.0000	0.00100
SEN1873	SG1947	0.0000	0.0000	99.00000
SEN1872	SG1946	0.0000	0.0000	99.00000
SEN1871	SG1945	0.0000	0.0000	86.72782
SEN1870	SG1944	0.0000	0.0000	0.00100
SEN1869	SG1943	0.0016	0.0000	99.00000
SEN1868	SG1942	0.0018	0.0000	99.00000
SEN1866	SG1940	0.0013	0.0000	99.00000
SEN1864	SG1938	0.0016	0.0033	0.49363
SEN1863	SG1937	0.0005	0.0009	0.59108
SEN1862	SG1936	0.0017	0.0000	99.00000
SEN1860	SG1933	0.0055	0.0001	99.00000
SEN1859	SG1932	0.0000	0.0000	0.00100
SEN1858	SG1931	0.0000	0.0000	0.00100
SEN1857	SG1930	0.0000	0.0000	0.00100
SEN1856	SG1929	0.0000	0.0000	0.14280
SEN1855	SG1928	0.0000	0.0040	0.00100
SEN1854	SG1927	0.0000	0.0000	0.00100
SEN1853	SG1926	0.0000	0.0000	0.00100
SEN1852	SG1925	0.0000	0.0000	0.13092
SEN1851	SG1924	0.0000	0.0000	0.07622
SEN1850	SG1923	0.0013	0.0000	99.00000
SEN1849	SG1922	0.0000	0.0000	0.00100
SEN1848	SG1921	0.0032	0.0028	1.15220
SEN1847	SG1920	0.0020	0.0033	0.61934
SEN1846	SG1919	0.0030	0.0024	1.26375
SEN1845	SG1918	0.0007	0.0000	99.00000
SEN1844	SG1917	0.0000	0.0000	0.14216
SEN1843	SG1916	0.0000	0.0000	0.67635
SEN1842	SG1915	0.0045	0.0000	99.00000
SEN1841	SG1914	0.0033	0.0048	0.68787
SEN1840	SG1913	0.0000	0.0000	0.03294
SEN1839	SG1912	0.0022	0.0000	99.00000
SEN1838	SG1911	0.0029	0.0037	0.78872
SEN1836	SG1908	0.0024	0.0000	99.00000
SEN1835	SG1907	0.0000	0.0000	0.00100
SEN1834	SG1906	0.0000	0.0000	0.00100
SEN1833	SG1905	0.0004	0.0000	99.00000
SEN1832	SG1904	0.0000	0.0000	0.00100
SEN1831	SG1903	0.0000	0.0000	0.00100
SEN1830	SG1902	0.0012	0.0000	99.00000
SEN1829	SG1901	0.0014	0.0000	99.00000
SEN1828	SG1900	0.0000	0.0039	0.00100
SEN1827	SG1899	0.0000	0.0000	99.00000
SEN1826	SG1898	0.0017	0.0000	99.00000
SEN1824	SG1896	0.0020	0.0000	99.00000
SEN1823	SG1895	0.0000	0.0000	0.00100
SEN1822	SG1894	0.0012	0.0000	99.00000
SEN1820	SG1892	0.0000	0.0000	0.04183
SEN1819	SG1891	0.0000	0.0000	0.12974
SEN1818	SG1890	0.0019	0.0000	99.00000
SEN1817	SG1889	0.0000	0.0000	0.13850
SEN1816	SG1888	0.0000	0.0000	0.43883
SEN1815	SG1887	0.0000	0.0049	0.00100
SEN1814	SG1886	0.0000	0.0000	0.01704
SEN1812	SG1884	0.0000	0.0000	0.16378
SEN1811	SG1883	0.0000	0.0000	0.05282
SEN1131	SG1180	0.0000	0.0000	0.09604
SEN0974	SG0999	0.0047	0.0000	99.00000
SEN1181	SG1260	0.0000	0.0070	0.00100
SEN1655	SG1726	0.0040	0.0000	99.00000
SEN0326	SG0354	0.0000	0.0000	0.00100
SEN1221	SG1301	0.0000	0.0000	99.00000
SEN1222	SG1302	0.0000	0.0070	0.00100
SEN1223	SG1303	0.0023	0.0000	99.00000
SEN1224	SG1304	0.0000	0.0086	0.00100
SEN1225	SG1305	0.0000	0.0000	0.04421
SEN1226	SG1306	0.0000	0.0000	0.00100
SEN1230	SG1310	0.0000	0.0000	0.06669
SEN1231	SG1311	0.0010	0.0000	99.00000
SEN1232	SG1312	0.0000	0.0000	0.00100
SEN1233	SG1313	0.0018	0.0000	99.00000
SEN1235	SG1314A	0.0000	0.0030	0.00100
SEN1236	SG1315	0.0009	0.0017	0.55445
SEN1237	SG1316	0.0000	0.0000	0.01885
SEN1238	SG1317	0.0000	0.0053	0.00100
SEN1239	SG1318	0.0000	0.0000	0.19253
SEN1240	SG1319	0.0000	0.0000	0.00100
SEN1241	SG1320	0.0000	0.0000	0.14606
SEN1255	SG1333	0.0000	0.0000	0.00100
SEN1256	SG1334	0.0000	0.0000	0.00100
SEN1257	SG1335	0.0000	0.0000	0.00100
SEN1258	SG1336	0.0009	0.0021	0.40351
SEN1259	SG1337	0.0016	0.0000	99.00000
SEN1260	SG1338	0.0018	0.0000	99.00000
SEN1261	SG1339	0.0000	0.0000	0.00100
SEN1262	SG1340	0.0000	0.0000	0.00100
SEN1263	SG1341	0.0011	0.0000	99.00000
SEN1264	SG1342	0.0018	0.0000	99.00000
SEN1265	SG1343	0.0042	0.0000	99.00000
SEN1266	SG1344	0.0064	0.0001	99.00000
SEN1267	SG1345	0.0000	0.0000	0.00100
SEN1268	SG1346	0.0000	0.0000	0.00100
SEN1269	SG1347	0.0000	0.0000	0.00100
SEN1270	SG1348	0.0040	0.0103	0.39006
SEN1271	SG1349	0.0009	0.0000	99.00000
SEN1272	SG1350	0.0000	0.0077	0.00100
SEN1273	SG1351	0.0000	0.0015	0.00100
SEN1274	SG1352	0.0011	0.0000	99.00000
SEN1275	SG1353	0.0000	0.0000	99.00000
SEN1276	SG1354	0.0018	0.0026	0.68262
SEN1277	SG1355	0.0000	0.0000	0.04361
SEN1278	SG1356	0.0000	0.0000	0.00100
SEN1280	SG1360	0.0000	0.0000	0.03093
SEN1281	SG1361	0.0000	0.0000	0.19376
SEN1282	SG1362	0.0000	0.0000	0.00100
SEN1283	SG1363	0.0000	0.0000	0.00100
SEN1284	SG1364	0.0000	0.0000	0.02640
SEN1285	SG1365	0.0000	0.0000	0.00100
SEN1286	SG1366	0.0000	0.0000	0.00100
SEN1287	SG1367	0.0000	0.0000	0.00100
SEN1288	SG1368	0.0023	0.0000	99.00000
SEN1289	SG1369	0.0009	0.0065	0.13573
SEN1290	SG1370	0.0017	0.0000	99.00000
SEN1291	SG1371	0.0000	0.0000	0.08687
SEN1292	SG1372	0.0000	0.0000	0.00100
SEN1293	SG1373	0.0014	0.0038	0.35640
SEN1295	SG1376	0.0009	0.0000	99.00000
SEN1296	SG1377	0.0000	0.0000	0.00434
SEN1297	SG1378	0.0000	0.0053	0.00100
SEN1298	SG1379	0.0000	0.0078	0.00100
SEN1299	SG1380	0.0000	0.0000	99.00000
SEN1300	SG1381	0.0000	0.0000	0.50821
SEN1302	SG1383	0.0000	0.0000	0.00100
SEN1304	SG1385	0.0000	0.0000	0.00100
SEN1305	SG1386	0.0000	0.0000	0.00100
SEN1538	SG1606	0.0000	0.0000	0.38048
SEN1307	SG1388	0.0000	0.0076	0.00100
SEN1308	SG1389	0.0000	0.0000	0.00100
SEN1309	SG1390	0.0009	0.0000	99.00000
SEN1310	SG1391	0.0000	0.0000	0.13879
SEN1311	SG1392	0.0018	0.0000	99.00000
SEN1312	SG1393	0.0018	0.0000	99.00000
SEN1313	SG1394	0.0025	0.0000	99.00000
SEN1314	SG1395	0.0000	0.0000	86.53518
SEN1316	SG1397	0.0000	0.0000	0.00100
SEN1317	SG1398	0.0012	0.0094	0.12964
SEN1318	SG1399	0.0000	0.0000	0.08125
SEN1319	SG1400	0.0010	0.0000	99.00000
SEN1320	SG1401	0.0000	0.0034	0.00100
SEN1321	SG1402	0.0006	0.0011	0.49731
SEN1322	SG1403	0.0000	0.0000	0.00100
SEN1323	SG1404	0.0021	0.0000	99.00000
SEN1324	SG1405	0.0000	0.0000	99.00000
SEN1325	SG1406	0.0012	0.0037	0.32255
SEN1326	SG1407	0.0000	0.0039	0.00100
SEN1327	SG1408	0.0000	0.0098	0.00100
SEN1328	SG1409	0.0000	0.0039	0.00100
SEN1329	SG1410	0.0021	0.0019	1.14652
SEN1330	SG1411	0.0015	0.0018	0.80281
SEN1332	SG1414	0.0000	0.0000	0.00100
SEN1337	SG1420	0.0000	0.0000	0.00100
SEN1338	SG1421	0.0000	0.0000	0.00100
SEN1339	SG1422	0.0000	0.0042	0.00100
SEN1340	SG1423	0.0017	0.0000	99.00000
SEN1341	SG1424	0.0000	0.0000	0.11394
SEN1666	SG1738	0.0022	0.0000	99.00000
SEN1367	SG1453	0.0000	0.0000	0.16499
SEN2971	SG3022	0.0000	0.0024	0.00100
SEN1342	SG1425	0.0053	0.0001	99.00000
SEN1343	SG1426	0.0000	0.0000	99.00000
SEN1344	SG1427	0.0000	0.0000	0.05210
SEN1345	SG1428	0.0000	0.0000	0.14719
SEN1346	SG1429	0.0000	0.0000	20.09318
SEN1347	SG1430	0.0000	0.0000	0.00100
SEN1500	SG3735	0.9309	55.1204	0.01689
SEN1348	SG1431	0.0019	0.0031	0.61361
SEN1349	SG1432	0.0015	0.0000	99.00000
SEN1350	SG1433	0.0000	0.0000	0.08603
SEN1351	SG1434	0.0000	0.0000	0.00100
SEN1352	SG1435	0.0031	0.0000	99.00000
SEN1353	SG1436	0.0040	0.0000	99.00000
SEN0856	SG1439	0.9931	59.1462	0.01679
SEN1354	SG1437	0.0000	0.0000	0.00100
SEN1368	SG1454	0.0016	0.0000	99.00000
SEN1369	SG1455	0.0000	0.0000	0.00100
SEN1370	SG1456	0.0000	0.0000	0.15360
SEN1371	SG1457	0.0000	0.0000	0.00100
SEN1372	SG1458	0.0000	0.0000	0.00100
SEN2173	SG2216	0.0000	0.0000	0.00100
SEN1373	SG1459	0.0022	0.0000	99.00000
SEN1375	SG1461	0.0016	0.0000	99.00000
SEN1376	SG1462	0.0033	0.0000	99.00000
SEN1377	SG1463	0.0000	0.0030	0.00100
SEN1381	SG1186	0.6888	71.4126	0.00965
SEN0913	SG1232	0.0393	0.2491	0.15790
SEN1400	SG1466	0.0038	0.0063	0.60083
SEN1575	SG1060	0.1939	1.8723	0.10357
SEN1404	SG1471	0.0034	0.0000	99.00000
SEN1405	SG1472	0.0000	0.0000	0.14209
SEN1406	SG1473	0.0006	0.0022	0.26404
SEN1407	SG1474	0.0000	0.0000	0.06355
SEN1408	SG1475	0.0000	0.0000	0.00100
SEN2972	SG3023	0.0011	0.0000	99.00000
SEN1357	SG0139	1.0131	56.7124	0.01786
SEN1410	SG1477	0.0000	0.0070	0.00100
SEN1411	SG1478	0.0004	0.0027	0.13616
SEN1412	SG1479	0.0016	0.0000	99.00000
SEN4280	SG2080	1.1336	68.9223	0.01645
SEN1413	SG1480	0.0023	0.0000	99.00000
SEN1426	SG1493	0.0010	0.0019	0.51101
SEN1427	SG1494	0.0000	0.0030	0.00100
SEN1428	SG1495	0.0009	0.0000	99.00000
SEN1430	SG1497	0.0000	0.0000	0.12605
SEN1445	SG1512	0.0000	0.0000	0.00100
SEN1446	SG1513	0.0000	0.0000	0.15822
SEN1447	SG1514	0.0000	0.0000	0.00100
SEN1448	SG1515	0.0000	0.0000	0.00100
SEN1449	SG1516	0.0000	0.0000	0.00100
SEN1450	SG1517	0.0000	0.0026	0.00100
SEN1451	SG1518	0.0000	0.0000	0.08279
SEN1452	SG1519	0.0008	0.0000	99.00000
SEN1453	SG1520	0.0000	0.0000	0.00100
SEN1457	SG1525	0.0020	0.0000	99.00000
SEN0408	SG0437	0.0018	0.0000	99.00000
SEN1458	SG1526	0.0011	0.0000	99.00000
SEN1463	SG1533	0.0000	0.0000	0.00100
SEN1464	SG1534	0.0000	0.0000	0.00100
SEN1465	SG1535	0.0000	0.0000	0.16368
SEN1466	SG1536	0.0000	0.0027	0.00100
SEN1467	SG1537	0.0000	0.0000	0.00100
SEN1471	SG1543	0.0010	0.0000	99.00000
SEN1473	SG1545	0.0039	0.0000	99.00000
SEN1474	SG1546	0.0000	0.0000	0.13799
SEN1475	SG1547	0.0040	0.0000	99.00000
SEN1476	SG1548	0.0000	0.0036	0.00100
SEN1477	SG1549	0.0029	0.0000	99.00000
SEN1478	SG1550	0.0007	0.0042	0.17461
SEN1479	SG1551	0.0009	0.0000	99.00000
SEN1484	SG1556	0.0039	0.0000	99.00000
SEN1486	SG1558	0.0000	0.0000	0.00100
SEN1487	SG1559	0.0000	0.0000	0.00100
SEN1488	SG1560	0.0015	0.0044	0.33394
SEN1489	SG1561	0.0009	0.0035	0.25605
SEN1490	SG1562	0.0000	0.0000	0.00100
SEN1491	SG1563	0.0000	0.0000	0.00100
SEN1492	SG1564	0.0000	0.0000	0.14658
SEN0492	SG0522	0.0030	0.0000	99.00000
SEN1795	SG1868	0.0000	0.0000	0.00100
SEN1765	SG0039	0.4895	70.9717	0.00690
SEN4351	SG4417	0.0000	0.0056	0.00100
SEN3862	SG3348	0.0000	0.0036	0.00100
SEN3863	SG3347	0.0000	0.0000	0.14873
SEN3864	SG3346	0.0010	0.0018	0.58197
SEN3865	SG3345	0.0013	0.0000	99.00000
SEN3866	SG3344	0.0000	0.0029	0.00100
SEN3867	SG3343	0.0000	0.0029	0.00100
SEN3868	SG3342	0.0017	0.0000	99.00000
SEN3869	SG3341	0.0000	0.0000	0.00100
SEN1525	SG1593	0.0035	0.0000	99.00000
SEN1526	SG1594	0.0000	0.0033	0.00100
SEN1527	SG1595	0.0000	0.0029	0.00100
SEN1528	SG1596	0.0015	0.0000	99.00000
SEN1529	SG1597	0.0000	0.0000	0.11932
SEN1530	SG1598	0.0000	0.0000	0.09770
SEN1531	SG1599	0.0000	0.0000	99.00000
SEN1532	SG1600	0.0000	0.0000	0.00100
SEN1533	SG1601	0.0000	0.0000	0.20535
SEN1534	SG1602	0.0000	0.0000	0.00100
SEN1535	SG1603	0.0011	0.0000	99.00000
SEN1536	SG1604	0.0000	0.0000	0.21244
SEN1537	SG1605	0.0000	0.0117	0.00100
SEN1539	SG1607	0.0007	0.0020	0.33111
SEN1540	SG1608	0.0000	0.0040	0.00100
SEN1541	SG1609	0.0000	0.0041	0.00100
SEN1542	SG1610	0.0000	0.0157	0.00100
SEN1543	SG1611	0.0000	0.0000	0.00100
SEN1014	SG1059	0.0000	0.0000	0.00100
SEN4200	SG4275	0.0000	0.0000	99.00000
SEN4199	SG4274	0.0000	0.0000	99.00000
SEN1544	SG1614	0.0015	0.0029	0.52093
SEN1545	SG1615	0.0000	0.0000	0.13713
SEN1546	SG1616	0.0000	0.0000	99.00000
SEN1547	SG1617	0.0000	0.0000	0.00100
SEN1548	SG1618	0.0000	0.0000	0.09783
SEN1549	SG1619	0.0000	0.0000	0.00100
SEN1550	SG1620	0.0000	0.0000	0.00100
SEN1552	SG1622	0.0006	0.0040	0.15255
SEN1553	SG1623	0.0023	0.0000	99.00000
SEN1554	SG1624	0.0056	0.0033	1.66681
SEN1555	SG1625	0.0026	0.0000	99.00000
SEN1560	SG1630	0.0012	0.0000	99.00000
SEN1561	SG1631	0.0000	0.0000	0.00100
SEN1562	SG1632	0.0011	0.0061	0.18802
SEN1563	SG1633	0.0000	0.0050	0.00100
SEN1568	SG1637	0.0028	0.0033	0.83453
SEN1569	SG1638	0.0010	0.0000	99.00000
SEN1570	SG1639	0.0010	0.0021	0.45052
SEN1571	SG1640	0.0000	0.0062	0.00100
SEN1572	SG1641	0.0000	0.0000	0.00100
SEN1573	SG1642	0.0000	0.0000	0.17962
SEN1574	SG1643	0.0000	0.0000	0.00100
SEN1577	SG1646	0.0020	0.0000	99.00000
SEN1578	SG1647	0.0000	0.0000	0.09718
SEN1579	SG1648	0.0000	0.0023	0.00100
SEN1581	SG1650	0.0009	0.0018	0.52597
SEN1582	SG1651	0.0000	0.0000	0.00100
SEN1583	SG1652	0.0011	0.0000	99.00000
SEN1498	SG1571	0.0014	0.0024	0.59399
SEN1584	SG1655	0.0014	0.0037	0.37410
SEN1585	SG1656	0.0015	0.0000	99.00000
SEN1586	SG1657	0.0000	0.0000	0.00100
SEN1587	SG1658	0.0000	0.0000	1.28557
SEN1588	SG1659	0.0000	0.0000	0.00100
SEN1589	SG1660	0.0000	0.0051	0.00100
SEN1590	SG1661	0.0020	0.0020	1.03039
SEN1591	SG1662	0.0000	0.0000	0.06790
SEN1592	SG1663	0.0000	0.0000	0.00100
SEN1593	SG1664	0.0000	0.0000	0.00100
SEN1594	SG1665	0.0000	0.0000	3.74056
SEN1595	SG1666	0.0009	0.0027	0.34103
SEN1596	SG1667	0.0048	0.0000	99.00000
